sid,x,y,UpperDepth,LowerDepth,Attribute,Val
32996,143.0235288,-35.78003173,30,60,SLT,5.829442978
32996,143.0235288,-35.78003173,60,100,SLT,5.887669563
32996,143.0235288,-35.78003173,100,200,SLT,6.319128036
32996,143.0235288,-35.78003173,0,5,SOC,1.335958838
32996,143.0235288,-35.78003173,5,15,SOC,0.8066535
32996,143.0235288,-35.78003173,15,30,SOC,0.505748332
32996,143.0235288,-35.78003173,30,60,SOC,0.410203934
32996,143.0235288,-35.78003173,60,100,SOC,0.267867118
32996,143.0235288,-35.78003173,100,200,SOC,0.170484632
32996,143.0235288,-35.78003173,0,5,NTO,0.091567174
32996,143.0235288,-35.78003173,5,15,NTO,0.07707113
32996,143.0235288,-35.78003173,15,30,NTO,0.054696187
32996,143.0235288,-35.78003173,30,60,NTO,0.036232963
32996,143.0235288,-35.78003173,60,100,NTO,0.025004337
32996,143.0235288,-35.78003173,100,200,NTO,0.020834468
32996,143.0235288,-35.78003173,0,5,PTO,0.027894733
32996,143.0235288,-35.78003173,5,15,PTO,0.026808755
32996,143.0235288,-35.78003173,15,30,PTO,0.02390863
32996,143.0235288,-35.78003173,30,60,PTO,0.022053534
32996,143.0235288,-35.78003173,60,100,PTO,0.022590155
32996,143.0235288,-35.78003173,100,200,PTO,0.020758314
33964,143.0132916,-35.78046853,0,5,AWC,12.3225832
33964,143.0132916,-35.78046853,5,15,AWC,12.5761404
33964,143.0132916,-35.78046853,15,30,AWC,13.04220772
33964,143.0132916,-35.78046853,30,60,AWC,13.16525459
33964,143.0132916,-35.78046853,60,100,AWC,12.98297787
33964,143.0132916,-35.78046853,100,200,AWC,12.59829521
33964,143.0132916,-35.78046853,0,5,BDW,1.400577307
33964,143.0132916,-35.78046853,5,15,BDW,1.425863981
33964,143.0132916,-35.78046853,15,30,BDW,1.439018846
33964,143.0132916,-35.78046853,30,60,BDW,1.416861534
33964,143.0132916,-35.78046853,60,100,BDW,1.445999742
33964,143.0132916,-35.78046853,100,200,BDW,1.476419568
33964,143.0132916,-35.78046853,0,5,CLY,23.69298744
33964,143.0132916,-35.78046853,5,15,CLY,26.36271286
33964,143.0132916,-35.78046853,15,30,CLY,32.70415878
33964,143.0132916,-35.78046853,30,60,CLY,35.98141861
33964,143.0132916,-35.78046853,60,100,CLY,37.44893265
33964,143.0132916,-35.78046853,100,200,CLY,36.51290512
33964,143.0132916,-35.78046853,0,999,DER,93.18746948
33964,143.0132916,-35.78046853,0,5,DES,1
33964,143.0132916,-35.78046853,0,200,DES,1.117450953
33964,143.0132916,-35.78046853,5,15,DES,1
33964,143.0132916,-35.78046853,15,30,DES,1
33964,143.0132916,-35.78046853,30,60,DES,1
33964,143.0132916,-35.78046853,60,100,DES,1
