"SiteID","Easting","Northing","Depth","Stratify","Transect","Clay","pH"
"h047",151.2942766,-32.81728646,0.69,2,5,49,7.21
"h047",151.2942766,-32.81728646,0.95,2,5,49,7.67
"h048",151.2939204,-32.81748003,0.06,2,5,45,7.51
"h048",151.2939204,-32.81748003,0.18,2,5,45,7.61
"h048",151.2939204,-32.81748003,0.5,2,5,49,6.98
"h048",151.2939204,-32.81748003,0.87,2,5,49,6.93
"h049",151.2933197,-32.81817532,0.16,2,5,31,7.27
"h049",151.2933197,-32.81817532,0.59,2,5,45,7.11
"h049",151.2933197,-32.81817532,0.93,2,5,45,6.76
"h050",151.2973781,-32.81875369,0.06,2,5,40,6.41
"h050",151.2973781,-32.81875369,0.2,2,5,40,6.55
"h050",151.2973781,-32.81875369,0.36,2,5,NA,6.45
"h050",151.2973781,-32.81875369,0.72,2,5,NA,6.52
"h051",151.2980611,-32.81766267,0.13,2,5,40,NA
"h051",151.2980611,-32.81766267,0.47,2,5,49,NA
"h051",151.2980611,-32.81766267,0.84,2,5,49,NA
"h052",151.2991521,-32.81590075,0.06,2,5,40,5.64
"h052",151.2991521,-32.81590075,0.18,2,5,49,5.82
"h052",151.2991521,-32.81590075,0.34,2,5,49,5.91
"h052",151.2991521,-32.81590075,0.54,2,5,49,5
"h053",151.3001633,-32.81608585,0.05,2,5,34,6.28
"h053",151.3001633,-32.81608585,0.28,2,5,57,6.54
"h053",151.3001633,-32.81608585,0.58,2,5,49,6.85
"h053",151.3001633,-32.81608585,0.84,2,5,49,6.28
"h054",151.3012963,-32.8160381,0.12,2,5,34,5.93
"h054",151.3012963,-32.8160381,0.53,2,5,57,5.31
"h054",151.3012963,-32.8160381,0.92,2,5,57,5.85
"h055",151.3020598,-32.81632805,0.09,2,5,34,6.67
"h055",151.3020598,-32.81632805,0.26,2,5,34,6.66
"h055",151.3020598,-32.81632805,0.49,2,5,57,6.61
"h055",151.3020598,-32.81632805,0.82,2,5,49,5.94
"h056",151.3052057,-32.81602796,0.08,2,5,31,5.8
"h056",151.3052057,-32.81602796,0.21,2,5,45,6.5
"h056",151.3052057,-32.81602796,0.36,2,5,49,6.77
"h056",151.3052057,-32.81602796,0.73,2,5,49,6.21
"h057",151.3022267,-32.81878348,0.11,2,5,34,8.2
"h057",151.3022267,-32.81878348,0.3,2,5,34,8.1
"h057",151.3022267,-32.81878348,0.64,2,5,10,8
"h058",151.3092793,-32.81805822,0.1,2,6,34,8.2
"h058",151.3092793,-32.81805822,0.27,2,6,34,8.3
"h058",151.3092793,-32.81805822,0.52,2,6,10,8.1
"h059",151.3100633,-32.81783431,0.13,2,6,32,8.5
"h059",151.3100633,-32.81783431,0.33,2,6,49,8.5
"h059",151.3100633,-32.81783431,0.45,2,6,32,8.3
"h059",151.3100633,-32.81783431,0.65,2,6,10,8.3
"h059",151.3100633,-32.81783431,0.9,2,6,10,8.6
"h060",151.3062249,-32.81747578,0.09,2,6,10,5.7
"h060",151.3062249,-32.81747578,0.44,2,6,49,5.9
"h060",151.3062249,-32.81747578,0.78,2,6,34,6.7
"h061",151.3109198,-32.81828781,0.1,2,6,40,7.3
"h061",151.3109198,-32.81828781,0.41,2,6,40,7
"h061",151.3109198,-32.81828781,0.72,2,6,57,6.1
"h061",151.3109198,-32.81828781,0.91,2,6,22,5.9
"h062",151.3116797,-32.81820787,0.12,2,6,40,5.7
"h062",151.3116797,-32.81820787,0.29,2,6,40,7.1
"h062",151.3116797,-32.81820787,0.48,2,6,45,7.1
"h062",151.3116797,-32.81820787,0.82,2,6,45,7.1
"h063",151.3124636,-32.81855214,0.08,2,6,40,7.3
"h063",151.3124636,-32.81855214,0.22,2,6,40,7.7
"h063",151.3124636,-32.81855214,0.42,2,6,49,8.3
"h063",151.3124636,-32.81855214,0.78,2,6,49,7.8
"h064",151.293607,-32.82493444,0.08,2,6,34,5.5
"h064",151.293607,-32.82493444,0.3,2,6,49,5.7
"h064",151.293607,-32.82493444,0.52,2,6,49,5.3
"h064",151.293607,-32.82493444,0.8,2,6,49,5.3
"h065",151.292882,-32.82430225,0.04,2,6,21,6.3
"h065",151.292882,-32.82430225,0.14,2,6,34,6.5
