"SiteID","Easting","Northing","Depth","Stratify","Transect","Clay","pH","AACN","Elevation","Hillshading","Landsat_Band1","Light_insolation","Mid_Slope_Positon","MRVBF","NDVI","Slope","Terrain_Ruggedness_Index","TWI"
"h003",151.2962733,-32.82347362,1.26,2,5,49,5.44,51.3315391540527,162.846649169922,16.719051361084,45.2577209472656,1549.13781738281,0.237756475806236,0.0247389730066061,-0.325672566890717,11.7948560714722,7.43469476699829,9.1187915802002
"h004",151.3007123,-32.82819679,0.03,2,5,40,7.82,104.549423217773,210.138412475586,7.1789231300354,55.4638290405273,1790.43322753906,0.929440081119537,0.0146918371319771,-0.209654301404953,7.41480922698975,9.42046642303467,8.88785362243652
"h004",151.3007123,-32.82819679,0.18,2,5,45,8.29,104.549423217773,210.138412475586,7.1789231300354,55.4638290405273,1790.43322753906,0.929440081119537,0.0146918371319771,-0.209654301404953,7.41480922698975,9.42046642303467,8.88785362243652
"h004",151.3007123,-32.82819679,0.48,2,5,40,9.52,104.549423217773,210.138412475586,7.1789231300354,55.4638290405273,1790.43322753906,0.929440081119537,0.0146918371319771,-0.209654301404953,7.41480922698975,9.42046642303467,8.88785362243652
"h004",151.3007123,-32.82819679,0.73,2,5,40,NA,104.549423217773,210.138412475586,7.1789231300354,55.4638290405273,1790.43322753906,0.929440081119537,0.0146918371319771,-0.209654301404953,7.41480922698975,9.42046642303467,8.88785362243652
"h004",151.3007123,-32.82819679,1.01,2,5,34,9.11,104.549423217773,210.138412475586,7.1789231300354,55.4638290405273,1790.43322753906,0.929440081119537,0.0146918371319771,-0.209654301404953,7.41480922698975,9.42046642303467,8.88785362243652
"h005",151.3186693,-32.8298914,0.04,2,5,15,7.74,10.7297449111938,100.157020568848,2.31731486320496,34.9953460693359,1686.330078125,0.441314488649368,0.613454163074493,-0.432877719402313,2.20568466186523,2.12885332107544,14.7430868148804
"h005",151.3186693,-32.8298914,0.12,2,5,15,7.77,10.7297449111938,100.157020568848,2.31731486320496,34.9953460693359,1686.330078125,0.441314488649368,0.613454163074493,-0.432877719402313,2.20568466186523,2.12885332107544,14.7430868148804
"h005",151.3186693,-32.8298914,0.27,2,5,23,6.99,10.7297449111938,100.157020568848,2.31731486320496,34.9953460693359,1686.330078125,0.441314488649368,0.613454163074493,-0.432877719402313,2.20568466186523,2.12885332107544,14.7430868148804
"h005",151.3186693,-32.8298914,0.59,2,5,49,6.91,10.7297449111938,100.157020568848,2.31731486320496,34.9953460693359,1686.330078125,0.441314488649368,0.613454163074493,-0.432877719402313,2.20568466186523,2.12885332107544,14.7430868148804
"h005",151.3186693,-32.8298914,0.9,2,5,45,6.9,10.7297449111938,100.157020568848,2.31731486320496,34.9953460693359,1686.330078125,0.441314488649368,0.613454163074493,-0.432877719402313,2.20568466186523,2.12885332107544,14.7430868148804
"h008",151.3015235,-32.81364213,0.09,2,5,49,5.7,41.9592437744141,140.394561767578,2.44478368759155,56.4847259521484,1750.50231933594,0.799768030643463,0.0454045683145523,-0.207538440823555,2.76743268966675,4.07353067398071,9.80219841003418
"h008",151.3015235,-32.81364213,0.27,2,5,49,6.3,41.9592437744141,140.394561767578,2.44478368759155,56.4847259521484,1750.50231933594,0.799768030643463,0.0454045683145523,-0.207538440823555,2.76743268966675,4.07353067398071,9.80219841003418
"h008",151.3015235,-32.81364213,0.46,2,5,40,6,41.9592437744141,140.394561767578,2.44478368759155,56.4847259521484,1750.50231933594,0.799768030643463,0.0454045683145523,-0.207538440823555,2.76743268966675,4.07353067398071,9.80219841003418
"h008",151.3015235,-32.81364213,0.67,2,5,32,6.2,41.9592437744141,140.394561767578,2.44478368759155,56.4847259521484,1750.50231933594,0.799768030643463,0.0454045683145523,-0.207538440823555,2.76743268966675,4.07353067398071,9.80219841003418
"h008",151.3015235,-32.81364213,0.89,2,5,45,5.8,41.9592437744141,140.394561767578,2.44478368759155,56.4847259521484,1750.50231933594,0.799768030643463,0.0454045683145523,-0.207538440823555,2.76743268966675,4.07353067398071,9.80219841003418
"h009",151.3034652,-32.81263128,0.08,2,5,10,5.7,36.9984550476074,132.638046264648,2.29885077476501,49.5439033508301,1751.3642578125,0.711356043815613,0.370474994182587,-0.226310253143311,2.64046168327332,2.69522714614868,10.7163791656494
"h009",151.3034652,-32.81263128,0.23,2,5,32,6.72,36.9984550476074,132.638046264648,2.29885077476501,49.5439033508301,1751.3642578125,0.711356043815613,0.370474994182587,-0.226310253143311,2.64046168327332,2.69522714614868,10.7163791656494
"h009",151.3034652,-32.81263128,0.49,2,5,40,6.32,36.9984550476074,132.638046264648,2.29885077476501,49.5439033508301,1751.3642578125,0.711356043815613,0.370474994182587,-0.226310253143311,2.64046168327332,2.69522714614868,10.7163791656494
"h009",151.3034652,-32.81263128,0.76,2,5,14,6.07,36.9984550476074,132.638046264648,2.29885077476501,49.5439033508301,1751.3642578125,0.711356043815613,0.370474994182587,-0.226310253143311,2.64046168327332,2.69522714614868,10.7163791656494
"h009",151.3034652,-32.81263128,0.93,2,5,45,6.14,36.9984550476074,132.638046264648,2.29885077476501,49.5439033508301,1751.3642578125,0.711356043815613,0.370474994182587,-0.226310253143311,2.64046168327332,2.69522714614868,10.7163791656494
"h010",151.3045935,-32.81395432,0.11,2,5,32,6.55,34.023365020752,129.410110473633,6.27297401428223,50.4314422607422,1615.96325683594,0.663803219795227,0.314408212900162,-0.20804063975811,5.40301036834717,4.86772632598877,9.98486995697021
"h010",151.3045935,-32.81395432,0.3,2,5,49,5.95,34.023365020752,129.410110473633,6.27297401428223,50.4314422607422,1615.96325683594,0.663803219795227,0.314408212900162,-0.20804063975811,5.40301036834717,4.86772632598877,9.98486995697021
"h010",151.3045935,-32.81395432,0.5,2,5,32,6.1,34.023365020752,129.410110473633,6.27297401428223,50.4314422607422,1615.96325683594,0.663803219795227,0.314408212900162,-0.20804063975811,5.40301036834717,4.86772632598877,9.98486995697021
"h010",151.3045935,-32.81395432,0.81,2,5,32,5.4,34.023365020752,129.410110473633,6.27297401428223,50.4314422607422,1615.96325683594,0.663803219795227,0.314408212900162,-0.20804063975811,5.40301036834717,4.86772632598877,9.98486995697021
"h011",151.3054906,-32.81395745,0.06,2,5,32,6.4,29.0937786102295,123.360733032227,7.6705265045166,50.4565658569336,1635.16162109375,0.637161374092102,0.1062156483531,-0.133281901478767,6.28013324737549,5.21741580963135,10.7537355422974
