"SiteID","Easting","Northing","Depth","Stratify","Transect","RockFrag","pH_H2O","EC","OC","P_Olsen","PBI","Exch_Ca","Exch_Mg","Exch_K","Exch_Na","Exch_Acid","Exch_Sum","ECEC","BaseSat","ESP","Ca_Mg","ECEC_Clay","Sand","Silt","Clay"
1010,809595,2275245,15,3,1010,0,6.55,0.04,0.32,NA,28,1.45,NA,NA,NA,NA,6.04,6.31,100,2.82,2.3,0.4,79.6,16.9,3.5
1010,809595,2275245,25,3,1010,0,7.01,0.019,0.3,2.6,30,3.25,1.13,0.22,0.14,0,4.74,4.74,100,2.93,2.9,0.48,75,15,10
1010,809595,2275245,40,3,1010,0,6.38,0.041,0.24,NA,44,4.51,NA,NA,NA,NA,7.65,7.85,100,2.95,1.2,0.31,64.3,18.9,16.7
1010,809595,2275245,60,3,1010,0,6.7,0.049,0.19,NA,57,2.54,NA,NA,NA,NA,6.28,6.6,100,2.16,0.4,0.37,56.9,21.9,21.3
1010,809595,2275245,85,3,1010,0,6.87,0.054,0.07,NA,49,3.8,NA,NA,NA,NA,6.49,6.89,100,1.8,NA,0.25,57.8,22,20.2
1011,809590,2275245,5,3,1010,0,6.77,0.05,0.32,NA,38,1.49,NA,NA,NA,NA,5.68,6.08,100,2.06,2.6,0.44,79.2,15.5,5.3
1011,809590,2275245,15,3,1010,0,6.69,0.05,0.27,NA,42,12.59,NA,NA,NA,NA,6.91,7.29,100,2.12,3.7,0.93,72.2,17.8,10
1011,809590,2275245,25,3,1010,0,6.6,0.052,0.28,NA,41,5.45,NA,NA,NA,NA,7.6,7.96,100,2.06,1.2,0.29,65.7,17.2,17.2
1011,809590,2275245,40,3,1010,0,6.83,0.049,0.13,NA,51,6.28,NA,NA,NA,NA,7.5,7.71,100,2.07,0.7,0.33,63.7,17.1,19.2
1011,809590,2275245,60,3,1010,0,6.77,0.073,0.1,NA,52,3.92,NA,NA,NA,NA,7.15,7.32,100,0.88,0.9,0.32,65.6,14.9,19.5
1011,809590,2275245,85,3,1010,0,6.85,0.061,NA,NA,47,3.31,NA,NA,NA,NA,6.26,6.65,100,1.48,0.8,0.38,64.5,13.7,21.8
1012,809547,2275237,5,3,1010,0,7.1,0.064,0.33,NA,30,NA,NA,NA,NA,NA,6.22,6.66,100,1.32,2.9,0.63,82.7,14.4,2.9
1012,809547,2275237,15,3,1010,0,7.19,0.062,0.39,NA,8,3.64,NA,NA,NA,NA,6.11,6.26,100,1.38,3.4,0.56,88.5,9.7,1.8
1012,809547,2275237,25,3,1010,0,6.98,0.064,0.42,NA,20,0.66,NA,NA,NA,NA,5.97,6.15,100,1.33,2.8,0.48,83.7,10.5,5.8
1012,809547,2275237,40,3,1010,0,6.83,0.049,0.37,NA,56,5.11,NA,NA,NA,NA,7.4,7.56,100,2.07,0.4,0.38,56.2,20,23.8
1012,809547,2275237,60,3,1010,0,6.83,0.059,0.24,NA,59,4.44,NA,NA,NA,NA,6.86,7.08,100,1.58,0.7,0.33,58.2,15.1,26.7
1012,809547,2275237,85,3,1010,0,6.94,0.064,0.16,NA,57,5.65,NA,NA,NA,NA,8.17,8.24,100,1.33,0.3,0.27,56.8,19.9,23.3
1013,809396,2275215,5,3,1010,0,8.25,0.118,0.39,NA,38,NA,NA,NA,NA,NA,5.31,5.8,100,2,4.7,0.95,73.2,21.4,5.4
1013,809396,2275215,15,3,1010,0,8.33,0.131,0.33,NA,48,7.82,NA,NA,NA,NA,8.46,8.9,100,2.42,4.6,0.82,69.8,23.4,6.8
1013,809396,2275215,25,3,1010,0,8.31,0.136,0.39,NA,44,6.86,NA,NA,NA,NA,7.35,7.69,100,2.45,4.1,0.93,69.9,23.8,6.4
1013,809396,2275215,40,3,1010,0,8.38,0.142,0.41,NA,57,7.64,NA,NA,NA,NA,9.24,9.69,100,2.78,3.9,0.84,66.6,24,9.4
1013,809396,2275215,60,3,1010,0,8.23,0.16,0.46,NA,47,6.63,NA,NA,NA,NA,8.55,8.98,100,2.52,3.7,0.72,66.5,27.6,5.9
1013,809396,2275215,85,3,1010,0,9.42,0.15,0.14,NA,41,4.53,NA,NA,NA,NA,4.17,4.39,100,6.83,3.5,0.84,77.1,17.8,5.1
1014,809081,2275148,5,3,1010,0,7.67,0.105,0.41,NA,44,4.82,NA,NA,NA,NA,7.15,7.54,100,0.81,3.1,0.65,69.7,20.4,9.9
1014,809081,2275148,15,3,1010,0,7.69,0.094,0.23,NA,30,4.3,NA,NA,NA,NA,5.43,5.66,100,0.96,4,0.49,73.6,16.1,10.3
1014,809081,2275148,25,3,1010,0,7.77,0.089,0.24,NA,33,4.3,NA,NA,NA,NA,6.12,6.57,100,1.09,3.3,0.64,73.9,20.1,6
1014,809081,2275148,40,3,1010,0,7.69,0.103,0.22,NA,39,7.08,NA,NA,NA,NA,6.93,7.33,100,0.86,3.1,0.45,68.9,18,13.1
1014,809081,2275148,60,3,1010,0,7.67,0.111,0.1,NA,57,4.83,NA,NA,NA,NA,10.48,10.66,100,0.74,2.2,0.51,63.4,17.9,18.8
1014,809081,2275148,85,3,1010,0,7.89,0.122,0.12,NA,64,7.97,NA,NA,NA,NA,11.96,12.03,100,1.16,1.7,0.47,56.8,19.9,23.2
