"SiteID","Easting","Northing","Depth","Stratify","Transect","RockFrag","pH_H2O","EC","OC","P_Olsen","PBI","Exch_Ca","Exch_Mg","Exch_K","Exch_Na","Exch_Acid","Exch_Sum","ECEC","BaseSat","ESP","Ca_Mg","ECEC_Clay","Sand","Silt","Clay","Aspect","Convergence_030","Convergence_060","Convergence_120","Convergence_240","Convergence_480","Convergence_960","Curvature_CrossSectional","Curvature_General","Curvature_Longitudinal","DEM_SRTM_Mask_filled_SAGA","MRRTF_08","MRRTF_16","MRVBF_04","MRVBF_08","MRVBF_16","MRVBF_32","PhysiographicRegions_Mask","Slope","SlopeLength","Terrain_MidSlopePosition","Terrain_NormalisedHeight","Terrain_SlopeHeight","Terrain_StandardisedHeight","Terrain_ValleyDepth","TPI_00060_30","TPI_00090_30","TPI_00120_30","TPI_00150_30","TPI_00180_30","TPI_00210_30","TPI_00240_30","TPI_00270_30","TPI_00300_30","TPI_00480_30","TPI_00600_30","TPI_00900_30","TPI_00960_30","TPI_01200_30","TPI_01500_30","TPI_01920_30","TPI_03000_30","TPI_03840_30","TPI_06000_30","TPI_07680_30","TPI_09000_30","TRI","TWI_SAGA_05","TWI_SAGA_10"
1437,803390,2276974,5,2,1435,2,8.38,0.215,1.22,NA,70,15.25,NA,NA,NA,NA,20.33,20.04,100,4.24,4.8,0.74,41.7,32.8,25.4,85.8075714111328,4.59581422805786,1.82272922992706,-10.5568742752075,-28.5667915344238,-20.4781227111816,-2.51850962638855,0.000154965411638841,0.000425143778556958,0.000270178366918117,244.888366699219,0,0,0,1,2,6,2,3.63207912445068,457.279235839844,0.418803423643112,0.290598273277283,4.86814165115356,176.499984741211,11.8839931488037,0.0651321411132812,0.046167753636837,-0.0721836090087891,-0.363151967525482,-0.637454271316528,-0.969599902629852,-1.34467494487762,-1.75056564807892,-1.93043804168701,-2.9042534828186,-3.09615445137024,-2.22207188606262,-2.37500786781311,-1.77261650562286,0.259689331054688,1.66407549381256,3.17149066925049,1.08963465690613,-4.85416126251221,-5.32363700866699,-7.08468866348267,0.772076010704041,17.4603157043457,16.1045303344727
1437,803390,2276974,15,2,1435,3,7.63,0.116,0.8,NA,72,14.4,NA,NA,NA,NA,20.62,20.17,100,0.59,3.1,0.6,37.5,29.9,32.6,85.8075714111328,4.59581422805786,1.82272922992706,-10.5568742752075,-28.5667915344238,-20.4781227111816,-2.51850962638855,0.000154965411638841,0.000425143778556958,0.000270178366918117,244.888366699219,0,0,0,1,2,6,2,3.63207912445068,457.279235839844,0.418803423643112,0.290598273277283,4.86814165115356,176.499984741211,11.8839931488037,0.0651321411132812,0.046167753636837,-0.0721836090087891,-0.363151967525482,-0.637454271316528,-0.969599902629852,-1.34467494487762,-1.75056564807892,-1.93043804168701,-2.9042534828186,-3.09615445137024,-2.22207188606262,-2.37500786781311,-1.77261650562286,0.259689331054688,1.66407549381256,3.17149066925049,1.08963465690613,-4.85416126251221,-5.32363700866699,-7.08468866348267,0.772076010704041,17.4603157043457,16.1045303344727
1437,803390,2276974,25,2,1435,1,8.28,0.209,0.73,NA,70,14.72,NA,NA,NA,NA,19.54,19.06,100,3.49,3.4,0.65,42,27.4,30.6,85.8075714111328,4.59581422805786,1.82272922992706,-10.5568742752075,-28.5667915344238,-20.4781227111816,-2.51850962638855,0.000154965411638841,0.000425143778556958,0.000270178366918117,244.888366699219,0,0,0,1,2,6,2,3.63207912445068,457.279235839844,0.418803423643112,0.290598273277283,4.86814165115356,176.499984741211,11.8839931488037,0.0651321411132812,0.046167753636837,-0.0721836090087891,-0.363151967525482,-0.637454271316528,-0.969599902629852,-1.34467494487762,-1.75056564807892,-1.93043804168701,-2.9042534828186,-3.09615445137024,-2.22207188606262,-2.37500786781311,-1.77261650562286,0.259689331054688,1.66407549381256,3.17149066925049,1.08963465690613,-4.85416126251221,-5.32363700866699,-7.08468866348267,0.772076010704041,17.4603157043457,16.1045303344727
1437,803390,2276974,40,2,1435,0,7.81,0.13,0.52,NA,68,13.03,NA,NA,NA,NA,18.55,17.96,100,0.92,3.2,0.69,44.3,24.6,31.1,85.8075714111328,4.59581422805786,1.82272922992706,-10.5568742752075,-28.5667915344238,-20.4781227111816,-2.51850962638855,0.000154965411638841,0.000425143778556958,0.000270178366918117,244.888366699219,0,0,0,1,2,6,2,3.63207912445068,457.279235839844,0.418803423643112,0.290598273277283,4.86814165115356,176.499984741211,11.8839931488037,0.0651321411132812,0.046167753636837,-0.0721836090087891,-0.363151967525482,-0.637454271316528,-0.969599902629852,-1.34467494487762,-1.75056564807892,-1.93043804168701,-2.9042534828186,-3.09615445137024,-2.22207188606262,-2.37500786781311,-1.77261650562286,0.259689331054688,1.66407549381256,3.17149066925049,1.08963465690613,-4.85416126251221,-5.32363700866699,-7.08468866348267,0.772076010704041,17.4603157043457,16.1045303344727
1437,803390,2276974,60,2,1435,10,8.68,0.417,0.49,NA,73,10.62,NA,NA,NA,NA,19.32,18.89,100,12.95,2.4,0.62,42.8,25.6,31.6,85.8075714111328,4.59581422805786,1.82272922992706,-10.5568742752075,-28.5667915344238,-20.4781227111816,-2.51850962638855,0.000154965411638841,0.000425143778556958,0.000270178366918117,244.888366699219,0,0,0,1,2,6,2,3.63207912445068,457.279235839844,0.418803423643112,0.290598273277283,4.86814165115356,176.499984741211,11.8839931488037,0.0651321411132812,0.046167753636837,-0.0721836090087891,-0.363151967525482,-0.637454271316528,-0.969599902629852,-1.34467494487762,-1.75056564807892,-1.93043804168701,-2.9042534828186,-3.09615445137024,-2.22207188606262,-2.37500786781311,-1.77261650562286,0.259689331054688,1.66407549381256,3.17149066925049,1.08963465690613,-4.85416126251221,-5.32363700866699,-7.08468866348267,0.772076010704041,17.4603157043457,16.1045303344727
1437,803390,2276974,85,2,1435,15,9.1,0.512,0.3,NA,74,9.29,NA,NA,NA,NA,16.23,15.75,100,24.42,1.6,0.7,48.3,24.4,27.3,85.8075714111328,4.59581422805786,1.82272922992706,-10.5568742752075,-28.5667915344238,-20.4781227111816,-2.51850962638855,0.000154965411638841,0.000425143778556958,0.000270178366918117,244.888366699219,0,0,0,1,2,6,2,3.63207912445068,457.279235839844,0.418803423643112,0.290598273277283,4.86814165115356,176.499984741211,11.8839931488037,0.0651321411132812,0.046167753636837,-0.0721836090087891,-0.363151967525482,-0.637454271316528,-0.969599902629852,-1.34467494487762,-1.75056564807892,-1.93043804168701,-2.9042534828186,-3.09615445137024,-2.22207188606262,-2.37500786781311,-1.77261650562286,0.259689331054688,1.66407549381256,3.17149066925049,1.08963465690613,-4.85416126251221,-5.32363700866699,-7.08468866348267,0.772076010704041,17.4603157043457,16.1045303344727
1438,803265,2276883,5,2,1435,1,6.85,0.088,0.92,NA,59,12.26,NA,NA,NA,NA,17.13,16.74,100,0.19,3.7,0.75,51.3,28.7,19.9,83.913818359375,-1.70594894886017,-4.32652187347412,-7.07450103759766,-7.49560832977295,-4.34950065612793,2.27495193481445,0.00020366653916426,5.83224846195662e-06,-0.000197834291611798,249.068603515625,0,1,0,0,1,4,2,4.11509323120117,120,0.264552265405655,0.367723882198334,6.15341663360596,185.472290039062,10.5803804397583,-0.0176569614559412,-0.0943916290998459,-0.241144180297852,-0.348900675773621,-0.421477228403091,-0.525749981403351,-0.655004918575287,-0.745887935161591,-0.804267644882202,-0.884308040142059,-0.563707053661346,-0.326274335384369,-0.211641207337379,2.15051293373108,3.20916700363159,4.75015354156494,6.38578653335571,4.56343698501587,-0.879066646099091,-1.95234143733978,-3.60775852203369,0.873825788497925,16.8673191070557,15.291449546814
1438,803265,2276883,15,2,1435,0,7.09,0.129,1.22,NA,79,16.95,NA,NA,NA,NA,22.46,21.84,100,0,4.7,0.75,39.7,32,28.3,83.913818359375,-1.70594894886017,-4.32652187347412,-7.07450103759766,-7.49560832977295,-4.34950065612793,2.27495193481445,0.00020366653916426,5.83224846195662e-06,-0.000197834291611798,249.068603515625,0,1,0,0,1,4,2,4.11509323120117,120,0.264552265405655,0.367723882198334,6.15341663360596,185.472290039062,10.5803804397583,-0.0176569614559412,-0.0943916290998459,-0.241144180297852,-0.348900675773621,-0.421477228403091,-0.525749981403351,-0.655004918575287,-0.745887935161591,-0.804267644882202,-0.884308040142059,-0.563707053661346,-0.326274335384369,-0.211641207337379,2.15051293373108,3.20916700363159,4.75015354156494,6.38578653335571,4.56343698501587,-0.879066646099091,-1.95234143733978,-3.60775852203369,0.873825788497925,16.8673191070557,15.291449546814
1438,803265,2276883,25,2,1435,3,7.6,0.256,1,NA,76,13.62,NA,NA,NA,NA,19.9,19.26,100,0,4.3,0.62,46,26.9,27.1,83.913818359375,-1.70594894886017,-4.32652187347412,-7.07450103759766,-7.49560832977295,-4.34950065612793,2.27495193481445,0.00020366653916426,5.83224846195662e-06,-0.000197834291611798,249.068603515625,0,1,0,0,1,4,2,4.11509323120117,120,0.264552265405655,0.367723882198334,6.15341663360596,185.472290039062,10.5803804397583,-0.0176569614559412,-0.0943916290998459,-0.241144180297852,-0.348900675773621,-0.421477228403091,-0.525749981403351,-0.655004918575287,-0.745887935161591,-0.804267644882202,-0.884308040142059,-0.563707053661346,-0.326274335384369,-0.211641207337379,2.15051293373108,3.20916700363159,4.75015354156494,6.38578653335571,4.56343698501587,-0.879066646099091,-1.95234143733978,-3.60775852203369,0.873825788497925,16.8673191070557,15.291449546814
1438,803265,2276883,40,2,1435,3,7.59,0.16,1.03,NA,71,16.63,NA,NA,NA,NA,19.9,19.35,100,0,4.4,0.65,46.7,26.9,26.5,83.913818359375,-1.70594894886017,-4.32652187347412,-7.07450103759766,-7.49560832977295,-4.34950065612793,2.27495193481445,0.00020366653916426,5.83224846195662e-06,-0.000197834291611798,249.068603515625,0,1,0,0,1,4,2,4.11509323120117,120,0.264552265405655,0.367723882198334,6.15341663360596,185.472290039062,10.5803804397583,-0.0176569614559412,-0.0943916290998459,-0.241144180297852,-0.348900675773621,-0.421477228403091,-0.525749981403351,-0.655004918575287,-0.745887935161591,-0.804267644882202,-0.884308040142059,-0.563707053661346,-0.326274335384369,-0.211641207337379,2.15051293373108,3.20916700363159,4.75015354156494,6.38578653335571,4.56343698501587,-0.879066646099091,-1.95234143733978,-3.60775852203369,0.873825788497925,16.8673191070557,15.291449546814
1438,803265,2276883,60,2,1435,1,8.07,0.19,1,NA,76,17.76,NA,NA,NA,NA,21.85,21.3,100,2.03,4.1,0.66,44.6,27.2,28.2,83.913818359375,-1.70594894886017,-4.32652187347412,-7.07450103759766,-7.49560832977295,-4.34950065612793,2.27495193481445,0.00020366653916426,5.83224846195662e-06,-0.000197834291611798,249.068603515625,0,1,0,0,1,4,2,4.11509323120117,120,0.264552265405655,0.367723882198334,6.15341663360596,185.472290039062,10.5803804397583,-0.0176569614559412,-0.0943916290998459,-0.241144180297852,-0.348900675773621,-0.421477228403091,-0.525749981403351,-0.655004918575287,-0.745887935161591,-0.804267644882202,-0.884308040142059,-0.563707053661346,-0.326274335384369,-0.211641207337379,2.15051293373108,3.20916700363159,4.75015354156494,6.38578653335571,4.56343698501587,-0.879066646099091,-1.95234143733978,-3.60775852203369,0.873825788497925,16.8673191070557,15.291449546814
1438,803265,2276883,85,2,1435,0,8.07,0.192,0.92,NA,83,17.49,NA,NA,NA,NA,22.86,22.18,100,2.05,4.5,0.71,40.8,26.8,32.4,83.913818359375,-1.70594894886017,-4.32652187347412,-7.07450103759766,-7.49560832977295,-4.34950065612793,2.27495193481445,0.00020366653916426,5.83224846195662e-06,-0.000197834291611798,249.068603515625,0,1,0,0,1,4,2,4.11509323120117,120,0.264552265405655,0.367723882198334,6.15341663360596,185.472290039062,10.5803804397583,-0.0176569614559412,-0.0943916290998459,-0.241144180297852,-0.348900675773621,-0.421477228403091,-0.525749981403351,-0.655004918575287,-0.745887935161591,-0.804267644882202,-0.884308040142059,-0.563707053661346,-0.326274335384369,-0.211641207337379,2.15051293373108,3.20916700363159,4.75015354156494,6.38578653335571,4.56343698501587,-0.879066646099091,-1.95234143733978,-3.60775852203369,0.873825788497925,16.8673191070557,15.291449546814
1439,802926,2276947,5,2,1435,30,8.13,0.141,0.54,NA,84,13.09,NA,NA,NA,NA,15.64,15.31,100,1.93,4.4,0.88,59.5,29.5,11,48.7182426452637,41.0193405151367,54.6246681213379,68.4602279663086,51.8876075744629,19.5484809875488,30.6749134063721,0.000921194616239518,0.00197794591076672,0.00105675135273486,262.07373046875,2,3,0,0,0,6,2,2.40582060813904,42.4264068603516,0.59568727016449,0.797843635082245,18.1838893890381,239.111145019531,4.60740566253662,0.509391784667969,1.35646367073059,2.42805218696594,3.65166091918945,4.47909736633301,5.11176109313965,5.36720752716064,5.68962717056274,5.88631534576416,6.18829584121704,6.67303514480591,10.5959949493408,11.4004955291748,13.4050855636597,14.7968282699585,16.2345237731934,17.9824295043945,16.4511756896973,11.8143033981323,9.99327373504639,8.71908950805664,0.55682098865509,16.5983085632324,14.5097932815552
1439,802926,2276947,15,2,1435,70,8.33,0.168,0.43,NA,111,18.5,NA,NA,NA,NA,25.04,24.34,100,3.08,5.1,0.92,49.6,32.1,18.3,48.7182426452637,41.0193405151367,54.6246681213379,68.4602279663086,51.8876075744629,19.5484809875488,30.6749134063721,0.000921194616239518,0.00197794591076672,0.00105675135273486,262.07373046875,2,3,0,0,0,6,2,2.40582060813904,42.4264068603516,0.59568727016449,0.797843635082245,18.1838893890381,239.111145019531,4.60740566253662,0.509391784667969,1.35646367073059,2.42805218696594,3.65166091918945,4.47909736633301,5.11176109313965,5.36720752716064,5.68962717056274,5.88631534576416,6.18829584121704,6.67303514480591,10.5959949493408,11.4004955291748,13.4050855636597,14.7968282699585,16.2345237731934,17.9824295043945,16.4511756896973,11.8143033981323,9.99327373504639,8.71908950805664,0.55682098865509,16.5983085632324,14.5097932815552
1439,802926,2276947,25,2,1435,70,8.38,0.179,0.32,NA,136,14.32,NA,NA,NA,NA,19.42,18.6,100,3.52,3.7,0.73,49.4,29.6,21,48.7182426452637,41.0193405151367,54.6246681213379,68.4602279663086,51.8876075744629,19.5484809875488,30.6749134063721,0.000921194616239518,0.00197794591076672,0.00105675135273486,262.07373046875,2,3,0,0,0,6,2,2.40582060813904,42.4264068603516,0.59568727016449,0.797843635082245,18.1838893890381,239.111145019531,4.60740566253662,0.509391784667969,1.35646367073059,2.42805218696594,3.65166091918945,4.47909736633301,5.11176109313965,5.36720752716064,5.68962717056274,5.88631534576416,6.18829584121704,6.67303514480591,10.5959949493408,11.4004955291748,13.4050855636597,14.7968282699585,16.2345237731934,17.9824295043945,16.4511756896973,11.8143033981323,9.99327373504639,8.71908950805664,0.55682098865509,16.5983085632324,14.5097932815552
1439,802926,2276947,40,2,1435,60,8.4,0.158,0.25,NA,142,10.25,NA,NA,NA,NA,20.7,20.13,100,3.19,2.8,0.86,55.5,29,15.5,48.7182426452637,41.0193405151367,54.6246681213379,68.4602279663086,51.8876075744629,19.5484809875488,30.6749134063721,0.000921194616239518,0.00197794591076672,0.00105675135273486,262.07373046875,2,3,0,0,0,6,2,2.40582060813904,42.4264068603516,0.59568727016449,0.797843635082245,18.1838893890381,239.111145019531,4.60740566253662,0.509391784667969,1.35646367073059,2.42805218696594,3.65166091918945,4.47909736633301,5.11176109313965,5.36720752716064,5.68962717056274,5.88631534576416,6.18829584121704,6.67303514480591,10.5959949493408,11.4004955291748,13.4050855636597,14.7968282699585,16.2345237731934,17.9824295043945,16.4511756896973,11.8143033981323,9.99327373504639,8.71908950805664,0.55682098865509,16.5983085632324,14.5097932815552
1439,802926,2276947,60,2,1435,50,8.5,0.141,0.09,NA,105,13.44,NA,NA,NA,NA,23.59,22.98,100,3.16,2.3,1.54,60.2,32.6,7.2,48.7182426452637,41.0193405151367,54.6246681213379,68.4602279663086,51.8876075744629,19.5484809875488,30.6749134063721,0.000921194616239518,0.00197794591076672,0.00105675135273486,262.07373046875,2,3,0,0,0,6,2,2.40582060813904,42.4264068603516,0.59568727016449,0.797843635082245,18.1838893890381,239.111145019531,4.60740566253662,0.509391784667969,1.35646367073059,2.42805218696594,3.65166091918945,4.47909736633301,5.11176109313965,5.36720752716064,5.68962717056274,5.88631534576416,6.18829584121704,6.67303514480591,10.5959949493408,11.4004955291748,13.4050855636597,14.7968282699585,16.2345237731934,17.9824295043945,16.4511756896973,11.8143033981323,9.99327373504639,8.71908950805664,0.55682098865509,16.5983085632324,14.5097932815552
